Task|Multiplier|Hours|Total

Prepare:

Assess (1) Existing <existing firewall make> Firewall for Replacement:|||1.12
-Review firewall ruleset|1|0.08|0.08
-Review firewall NATs|1|0.08|0.08
-Identify and document site-to-site tunnels, confirm access to peer firewalls|1|0.08|0.08
-Review mobile VPN configuration, determine public DNS requirements|1|0.08|0.08
-Identify and document  public facing applications|1|0.08|0.08
-Identify WAN failover requirements and settings, if applicable|1|0.08|0.08
-Identify LAN segments|1|0.08|0.08
-Define current routing topology|1|0.08|0.08
-Obtain new circuit information, IP block, gateway, subnet mask|1|0.16|0.16
-Determine if circuit will be adequate give current utilizations|1|0.08|0.08
-Confirm DMARC location|1|0.08|0.08
-Determine public DNS records that will require updates|1|0.08|0.08
-Determine if changes to endpoints will be required|1|0.08|0.08
|||
Define (2) New <new firewall make> Firewall for Replacement:|||1.22
|||
-Determine internet circuit load balancing and failover configuration required|2|0.08|0.16
-Determine firewall settings:|2|0.50|1.00
--Circuit IPs|||
--Subnet|||
--Default gateway|||
--Firewall ruleset|||
--Firewall NAT|||
--Native site-to-site tunnels|||
--DNS|||
--DHCP|||
--Routing|||
--S2S VPN|||
--Mobile VPN|||
--Advanced security features|||
-Mobile user VPN authentication|2|0.08|0.16
-Determine content filtering requirements with POC|2|0.08|0.16
-Define subscription based security services that will be activated|2|0.08|0.16
-Confirm firewall configuration elements that will be retained|2|0.08|0.16
-Confirm firewall configuration elements that will be removed|2|0.08|0.16
-Confirm firewall configuration elements that will be added|2|0.08|0.16
-Confirm Basic Security Suite meets business requirements|2|0.08|0.16
-Identify replacement chronology and schedule|2|0.08|0.16
|||
Implement:|||
|||
Stage and Configure (2) New Firewall for Replacement:|||2.48
-Unbox and bench test (2) firewall|2|0.08|0.16
-Register device's serial and apply feature key|2|0.08|0.16
-Confirm firmware upgrade|2|0.08|0.16
-Physically label device|2|0.08|0.16
-Configure DNS|2|0.08|0.16
-Assign name for new firewall|2|0.04|0.08
-Configure aliases|2|0.08|0.16
-Configure firewall ruleset|2|0.08|0.16
-Configure VLANs|2|0.08|0.16
-Configure DHCP if required|2|0.08|0.16
-Configure external interfaces|2|0.08|0.16
-Configure private interface(s)|2|0.08|0.16
-Configure Link Monitor and MultiWAN|2|0.08|0.16
-Configure mobile VPN (1 admin user)|2|0.08|0.16
-Disable mobile VPN|2|0.08|0.16
-Configure SNMP and NetFlow|2|0.08|0.16
|||
Operate:|||
|||
Deploy (2) New Firewall Onsite:|||3.50
-Onsite service|1|1.00|1.00
-Announce maintenance window|1|0.25|0.25
-Establish baseline internet performance metric|2|0.08|0.16
-Tag then detach existing firewall public and private interfaces|2|0.08|0.16
-Disconnect power and remove existing SonicWall firewall|2|0.08|0.16
-Install firewall in rackmount kit|2|0.16|0.32
-Install new firewall in designated location|2|0.16|0.32
-Connect power cords to UPS and secure|2|0.04|0.08
-Connect public and private interfaces and secure|2|0.04|0.08
-Perform cable management|2|0.50|1.00
|||
Execute Test Plan:|||1.00
Confirm LAN/internet access from all segments|||
Confirm public interfaces and failover configuration|||
Confirm monitoring and remote access|||
Confirm new baseline circuit performance metric|||
Confirm access to applications and application data|||
|||
Optimize:|||
Project Closure:|||2.25
Enter configuration documentation into IT Glue and ConnectWise|1|1.25|1.25
Knowledge transfer meeting to technical support staff|1|0.25|0.25
Client verification of solution|1|0.25|0.25
Project closure|1|0.50|0.50
